"title","rate","url"
"移动迷宫3：死亡解药 The Maze Runner: The Death Cure",5.4,"https://movie.douban.com/subject/26004132/?from=showing"
"神秘巨星 Secret Superstar",8,"https://movie.douban.com/subject/26942674/?from=showing"
"无问西东",7.5,"https://movie.douban.com/subject/6874741/?from=showing"
"公牛历险记 Ferdinand",7.4,"https://movie.douban.com/subject/25846857/?from=showing"
"奇迹男孩 Wonder",8.6,"https://movie.douban.com/subject/26787574/?from=showing"
"熊出没·变形记",0,"https://movie.douban.com/subject/27176717/?from=showing"
"勇敢者游戏：决战丛林 Jumanji: Welcome to the Jungle",7.2,"https://movie.douban.com/subject/26586766/?from=showing"
"麦兵兵之夺宝联“萌”",0,"https://movie.douban.com/subject/26548048/?from=showing"
"24小时：末路重生 24 Hours To Live",5.2,"https://movie.douban.com/subject/26724807/?from=showing"
"前任3：再见前任",5.7,"https://movie.douban.com/subject/26662193/?from=showing"
"绝命时钟2:22 2:22",5.9,"https://movie.douban.com/subject/2338070/?from=showing"
"芳华",7.8,"https://movie.douban.com/subject/26862829/?from=showing"
"S4侠降魔记",0,"https://movie.douban.com/subject/26666947/?from=showing"
"南极之恋",0,"https://movie.douban.com/subject/26628329/?from=showing"
"英雄本色2018",5.1,"https://movie.douban.com/subject/26827040/?from=showing"
"谜巢",4,"https://movie.douban.com/subject/26612285/?from=showing"
"星球大战8：最后的绝地武士 Star Wars: The Last Jedi",7.2,"https://movie.douban.com/subject/22265634/?from=showing"
"五度空间",0,"https://movie.douban.com/subject/26606761/?from=showing"
"大雪冬至",0,"https://movie.douban.com/subject/27063331/?from=showing"
"第一夫人 Jackie",6.6,"https://movie.douban.com/subject/4849728/?from=showing"
"小马宝莉大电影 My Little Pony: The Movie",0,"https://movie.douban.com/subject/26176481/?from=showing"
"帕丁顿熊2 Paddington 2",8.3,"https://movie.douban.com/subject/26340419/?from=showing"
"太空救援 Салют-7",7.7,"https://movie.douban.com/subject/27073291/?from=showing"
"至爱梵高·星空之谜 Loving Vincent",8.5,"https://movie.douban.com/subject/25837262/?from=showing"
"妖猫传",7,"https://movie.douban.com/subject/5350027/?from=showing"
"一个人的课堂",0,"https://movie.douban.com/subject/26628256/?from=showing"
"小狗奶瓶",0,"https://movie.douban.com/subject/27621546/?from=showing"
"心理罪之城市之光",6.1,"https://movie.douban.com/subject/26774722/?from=showing"
"大世界",7.2,"https://movie.douban.com/subject/26954003/?from=showing"
"二代妖精之今生有幸",6.1,"https://movie.douban.com/subject/26797419/?from=showing"
"迷镇凶案 Suburbicon",6.2,"https://movie.douban.com/subject/2133433/?from=showing"
"尼斯·疯狂的心 Nise - O Coração da Loucura",8.2,"https://movie.douban.com/subject/26631663/?from=showing"
"解忧杂货店",5.2,"https://movie.douban.com/subject/26654146/?from=showing"
"梭哈人生",0,"https://movie.douban.com/subject/27156899/?from=showing"
"咕噜咕噜美人鱼2",0,"https://movie.douban.com/subject/27193475/?from=showing"
"金龟子",0,"https://movie.douban.com/subject/27605297/?from=showing"
"至暗时刻 Darkest Hour",8.6,"https://movie.douban.com/subject/26761416/?from=showing"